frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
37,5.0,[2199.651141377257 1248.4994808345157 2828.762794648045 1860.6802065259064],[2434.217529296875 1658.344482421875 2615.059814453125 1748.3514404296875],0.6250911355018616,MZ51VSU,0.04617694330760682
37,3.0,[670.8262370315734 1483.0550000116905 1391.7801524042297 2135.1641997254274],[903.099609375 1902.1248779296875 1156.3721923828125 2005.6160888671875],0.5602676272392273,NA13NRU,0.18664121196274225
38,3.0,[669.2003511490708 1488.621702742138 1392.4474920965904 2139.066158986959],[924.1004028320312 1911.2764892578125 1148.2674560546875 2009.4305419921875],0.6396982669830322,NA13NRU,0.18115275987972815
40,3.0,[668.4866889399289 1496.843832753867 1393.3502118843824 2146.5423271723253],[900.3173217773438 1923.8775634765625 1133.605712890625 2019.758544921875],0.6199135184288025,NA13NRU,0.31105867026595957
41,5.0,[2206.7207480285683 1251.0943272312095 2846.022547874138 1868.9942107832592],[2435.7978515625 1675.763671875 2616.232177734375 1754.9066162109375],0.6111747622489929,MV51VSU,0.17345654676991537
42,3.0,[660.3863747832771 1508.2792013727721 1387.4493751433442 2151.2090978976407],[882.327392578125 1927.5765380859375 1152.17138671875 2039.9146728515625],0.609655499458313,NA13NRU,0.45974752093676646
43,3.0,[658.1814139300445 1511.197185213627 1386.0698335077977 2151.2820907020186],[882.4586791992188 1927.748291015625 1152.0616455078125 2039.771484375],0.6099720597267151,NA13NRU,0.45974752093676646
44,5.0,[2207.0810571388984 1251.9977113415944 2853.2670626215004 1876.8960985615881],[2434.406494140625 1685.257080078125 2612.552734375 1767.9822998046875],0.6663973331451416,MI51VSU,0.10941998909545095
44,3.0,[656.5110988268507 1511.9778552298094 1384.863863272391 2151.1812477418644],[877.4298706054688 1923.5225830078125 1135.0654296875 2037.6068115234375],0.6376197338104248,NA13MRU,0.5144889613989113
45,3.0,[654.8167780790452 1515.5609189416994 1384.7248098112016 2153.097228781063],[895.3402099609375 1934.03515625 1150.44580078125 2043.9544677734375],0.6197766661643982,NA13NRU,0.19721775952710285
46,3.0,[652.6581579861117 1517.9004820638036 1382.9836835423862 2152.6061912286905],[904.3511352539062 1940.736328125 1140.992919921875 2045.44482421875],0.6530439257621765,NA13MRU,0.4068280874435165
47,5.0,[2208.2592872085474 1262.1780597954319 2856.155159377839 1888.7474706263],[2433.463623046875 1696.8369140625 2621.7451171875 1785.025634765625],0.6653369069099426,MT51VSU,0.05189331264637185
47,3.0,[650.7496010934155 1518.8216331410763 1382.4609231297914 2151.1719661868287],[882.091796875 1945.1195068359375 1147.53466796875 2060.543212890625],0.6287829279899597,NA13MRU,0.3370255002320132
51,3.0,[648.4604849951581 1532.1952781879445 1380.5400272785773 2152.7470003151566],[871.4727172851562 1970.402099609375 1129.5546875 2073.380615234375],0.6438192129135132,NA13NPU,0.2054796044693718
52,3.0,[645.7620446469273 1536.4298475794155 1379.9628978717258 2153.277532774027],[885.2010498046875 1974.8790283203125 1138.8665771484375 2084.52978515625],0.5998735427856445,NA13NRU,0.7488696628884816
53,3.0,[645.9770528801733 1539.649287068829 1381.3639993058655 2152.517407837156],[870.71337890625 1973.669677734375 1120.692626953125 2083.424560546875],0.6485662460327148,NA13NPU,0.2855496927576623
54,3.0,[639.6811220243511 1544.0459530235496 1379.875380326439 2152.505405786883],[860.2695922851562 1977.109130859375 1127.8582763671875 2091.520751953125],0.670482873916626,NA13MRU,0.22644485567647127
55,3.0,[637.6314964798663 1546.4415656401761 1380.5108966321964 2151.7382279001836],[860.3241577148438 1977.1964111328125 1127.708984375 2091.40283203125],0.6697274446487427,NA13MRU,0.22644485567647127
57,5.0,[2208.714234508726 1272.0327670023094 2858.967453257532 1924.0334164292212],[2449.932861328125 1727.2855224609375 2629.412841796875 1809.5364990234375],0.6549774408340454,MJ51VSU,0.05762394385585622
58,3.0,[629.9809815771598 1558.2746793817614 1372.972911530204 2152.495473315123],[862.688232421875 1996.0975341796875 1119.650390625 2105.647216796875],0.6561896800994873,NA13NRU,0.6209711654230335
60,3.0,[632.8344941330874 1565.5166517959676 1372.920896498368 2152.3565762330795],[885.548583984375 2017.80029296875 1094.9659423828125 2118.114501953125],0.6714749336242676,NA13NRU,0.4201098766710823
61,3.0,[633.5503637072811 1566.939978549428 1372.175016219545 2151.5053412028724],[885.2470703125 2017.694580078125 1095.1405029296875 2118.353515625],0.6713846325874329,NA13NRU,0.37081955848011644
64,3.0,[631.3712541254727 1581.6969525235522 1368.4546050193694 2151.9985802806423],[838.1050415039062 2028.456298828125 1109.6097412109375 2136.27978515625],0.6662853360176086,NA13NRU,0.45556556333281584
65,3.0,[624.1527830763706 1586.4682256496872 1364.560089584998 2151.5653678697468],[844.179443359375 2030.8436279296875 1109.359130859375 2138.856689453125],0.6438284516334534,NA13NRU,0.4565049638170471
69,5.0,[2215.9745512172244 1315.2695283913786 2872.81631655525 1972.0757904732213],[2455.583740234375 1768.78271484375 2636.742919921875 1850.876953125],0.6109428405761719,MT51YSU,0.06412275049045167
75,5.0,[2216.1137052183785 1331.671049719928 2870.756226791623 2001.0848297569135],[2456.46826171875 1788.9400634765625 2646.7294921875 1882.3011474609375],0.6826963424682617,CW51TSU,0.018944835187250902
83,5.0,[2217.5957982097893 1361.4275874375144 2890.7803592930854 2033.6626200921114],[2464.998046875 1822.59814453125 2661.964599609375 1906.292724609375],0.6558358669281006,MT51VSU,0.09967193225064779
89,5.0,[2220.9290762077644 1372.7699650095897 2907.932365590389 2057.6473531766987],[2470.379150390625 1839.48388671875 2668.3388671875 1935.5150146484375],0.666128933429718,IT51VSU,0.11460977603030405
90,5.0,[2219.9604215998847 1374.676857783793 2908.464093721596 2061.510105455573],[2475.793701171875 1846.9149169921875 2668.92333984375 1937.1529541015625],0.6566106081008911,CT51VSU,0.12866038301854496
91,5.0,[2219.218307547159 1374.9055510713251 2908.9569241610557 2063.2425729554234],[2475.72607421875 1846.8966064453125 2668.93896484375 1937.1536865234375],0.6569300293922424,CT51VSU,0.13984667745582027
99,5.0,[2227.0724995082237 1403.6301433310168 2931.961432098572 2093.505304070629],[2477.931396484375 1884.322998046875 2673.9501953125 1972.7838134765625],0.702847421169281,MF51VSU,0.19669396408395584
